,number,county,state,lat,lng
0,4543,Carroll County,Tennessee,35.9917193,-88.4016041
1,5641,Jackson County,Colorado,40.6819242,-106.2522143
2,24102,Buchanan County,Missouri,39.6349791,-94.81059549999999
3,1606,Gila County,Arizona,33.6370567,-110.5215459
4,1353,Costilla County,Colorado,37.2049596,-105.5005483
5,489,Graham County,Arizona,33.076805,-109.7591675
6,3684,Ventura County,California,34.3704884,-119.1390642
7,6758,Latah County,Idaho,46.7360364,-116.6764195
8,2200,Mendocino County,California,39.5500194,-123.438353
9,7759,San Bernardino County,California,34.9592083,-116.419389
10,16308,Monmouth County,New Jersey,40.2589455,-74.12399599999999
11,14237,Platte County,Missouri,39.34756489999999,-94.7691586
12,1563,Del Norte County,California,41.7076287,-123.9659708
13,3566,Greene County,Pennsylvania,39.8113005,-80.1875065
14,33612,Osceola County,Florida,28.1019838,-81.0754657
15,2182,Inyo County,California,36.3091865,-117.5495846
16,325,Los Angeles County,California,34.0522265,-118.2436596
17,1950,Millard County,Utah,39.0611744,-113.1918021
18,8407,Pierce County,Washington,47.0675877,-122.1295269
19,2907,San Diego County,California,32.7157305,-117.1610966
20,2782,San Diego County,California,32.7157305,-117.1610966
21,232,Washington County,Maryland,39.641762,-77.719993
22,25531,Coos County,Oregon,43.242897,-124.105737
23,3554,Clarion County,Pennsylvania,41.1982095,-79.4703885
24,8183,Humboldt County,California,40.7450055,-123.8695086
25,1853,Mohave County,Arizona,35.2143346,-113.7632828
26,642,Ocean County,New Jersey,39.9652553,-74.3118212
27,5021,Claiborne Parish,Louisiana,32.7722557,-93.0175712
28,1186,Cumberland County,Maine,43.81329789999999,-70.3870587
29,2712,Fayette County,Pennsylvania,39.9272324,-79.6502105
30,20870,Holt County,Nebraska,42.3803308,-98.6600586
31,672,Hood River County,Oregon,45.5605475,-121.6378798
32,883,York County,Maine,43.4132697,-70.6702521
33,5767,Bonner County,Idaho,48.2751783,-116.5931483
34,6384,Chautauqua County,New York,42.2312829,-79.560344
35,3562,Fayette County,Pennsylvania,39.9272324,-79.6502105
36,510,Pima County,Arizona,32.057499,-111.6660725
37,3122,Bucks County,Pennsylvania,40.4107964,-75.2479061
38,3560,Crawford County,Pennsylvania,41.6661391,-80.2767327
39,27764,Island County,Washington,48.19765,-122.579457
40,1634,Los Angeles County,California,34.0522265,-118.2436596
41,8417,Otero County,New Mexico,32.6341716,-105.5943388
42,2932,Bucks County,Pennsylvania,40.4107964,-75.2479061
43,2061,Camas County,Idaho,43.5093688,-114.8243665
44,3280,Cameron County,Pennsylvania,41.4261564,-78.1564432
45,20259,Geauga County,Ohio,41.4641521,-81.20781640000001
46,2199,Mendocino County,California,39.5500194,-123.438353
47,7352,Trinity County,California,40.6329485,-123.0622553
48,7231,Trinity County,California,40.6329485,-123.0622553
49,1818,Yavapai County,Arizona,34.6463981,-112.4291464
50,656,Clackamas County,Oregon,45.2023855,-122.1188945
51,1360,El Paso County,Colorado,38.9108325,-104.4723301
52,4642,Humboldt County,California,40.7450055,-123.8695086
53,25836,Lee County,Iowa,40.70686630000001,-91.44346900000001
54,2210,Napa County,California,38.5024689,-122.2653887
55,2469,Perry County,Indiana,38.0159043,-86.6611083
56,2554,Schoolcraft County,Michigan,46.0693515,-86.1903622
57,1062,St. Louis County,Minnesota,47.7395106,-92.3623921
58,2470,Sullivan County,Indiana,39.08431220000001,-87.42075179999999
59,1164,Anne Arundel County,Maryland,38.9530109,-76.5488232
60,846,Apache County,Arizona,35.5313224,-109.3783206
61,2452,Cambria County,Pennsylvania,40.4894231,-78.74762079999999
62,6695,Hamilton County,New York,43.4764406,-74.4056612
63,236,Iosco County,Michigan,44.3340462,-83.63862259999999
64,29223,Maury County,Tennessee,35.6195242,-87.14228949999999
65,4182,Mendocino County,California,39.5500194,-123.438353
66,5220,Siskiyou County,California,41.7743261,-122.5770126
67,667,Deschutes County,Oregon,43.83251,-121.2616541
68,38155,Monroe County,Michigan,41.9738893,-83.5070203
69,26521,Park County,Wyoming,44.6782103,-109.4579855
70,58890,Valley County,Idaho,44.9204669,-115.7926381
71,9723,Washington County,New York,43.2519472,-73.37086959999999
72,1198,Barnstable County,Massachusetts,41.69909579999999,-70.32091129999999
73,231,Carroll County,Maryland,39.5423418,-77.0564464
74,3233,Lawrence County,Indiana,38.8518863,-86.49965460000001
75,821,St. Clair County,Michigan,43.016179,-82.6483442
76,27743,Warren County,New Jersey,40.8841854,-74.92087719999999
77,874,Washington County,Indiana,38.6744747,-86.17517590000001
78,3602,Anne Arundel County,Maryland,38.9530109,-76.5488232
79,33559,Delta County,Michigan,45.7124142,-86.98441749999999
80,1134,Jefferson County,Pennsylvania,41.147013,-78.9288242
