State,Fall,Spring,Summer,Unknown,Winter
AL,19,14,30,1,23
AK,2,3,4,0,3
AZ,17,7,35,2,13
AR,31,13,24,2,19
CA,82,47,148,4,34
CO,39,16,40,4,11
CT,2,0,7,0,2
DE,1,0,1,0,1
FL,69,51,82,9,64
GA,30,16,40,2,24
ID,32,2,26,1,6
IL,75,36,61,2,37
IN,15,6,27,1,7
IA,21,4,15,0,7
KS,10,10,14,3,4
KY,38,12,34,3,17
LA,9,5,10,2,7
ME,2,1,5,0,2
MD,7,7,8,0,1
MA,5,5,7,0,5
MI,64,23,67,2,21
MN,14,10,14,0,8
MS,8,1,5,1,5
MO,43,28,43,2,16
MT,11,6,18,0,8
NE,7,1,4,2,1
NV,2,0,4,0,1
NH,2,2,3,0,2
NJ,13,10,17,0,6
NM,8,6,11,0,6
NY,18,12,23,0,12
NC,28,8,24,2,11
ND,0,1,1,0,2
OH,64,44,102,6,44
OK,29,12,23,0,14
OR,53,15,101,1,23
PA,25,8,23,3,17
RI,3,1,1,0,0
SC,4,7,14,0,4
SD,4,2,2,0,0
TN,20,18,26,1,7
TX,65,33,65,8,38
UT,17,5,15,0,8
VT,3,1,2,0,1
WV,19,16,25,0,9
WA,147,106,203,10,59
WV,29,11,37,0,18
WI,26,10,28,2,8
WY,4,3,7,1,2
