county,state,latitude,longitude,number
Carroll County,Tennessee,,,4543
Jackson County,Colorado,,,5641
Buchanan County,Missouri,,,24102
Gila County,Arizona,,,1606
Costilla County,Colorado,,,1353
Graham County,Arizona,,,489
Ventura County,California,,,3684
Latah County,Idaho,,,6758
Mendocino County,California,,,2200
San Bernardino County,California,,,7759
Monmouth County,New Jersey,,,16308
Platte County,Missouri,,,14237
Del Norte County,California,,,1563
Greene County,Pennsylvania,,,3566
Osceola County,Florida,,,33612
Inyo County,California,,,2182
Los Angeles County,California,,,325
Millard County,Utah,,,1950
Pierce County,Washington,,,8407
San Diego County,California,,,2907
San Diego County,California,,,2782
Washington County,Maryland,,,232
Coos County,Oregon,,,25531
Clarion County,Pennsylvania,,,3554
Humboldt County,California,,,8183
Mohave County,Arizona,,,1853
Ocean County,New Jersey,,,642
Claiborne Parish,Louisiana,,,5021
Cumberland County,Maine,,,1186
Fayette County,Pennsylvania,,,2712
Holt County,Nebraska,,,20870
Hood River County,Oregon,,,672
York County,Maine,,,883
Bonner County,Idaho,,,5767
Chautauqua County,New York,,,6384
Fayette County,Pennsylvania,,,3562
Pima County,Arizona,,,510
Bucks County,Pennsylvania,,,3122
Crawford County,Pennsylvania,,,3560
Island County,Washington,,,27764
Los Angeles County,California,,,1634
Otero County,New Mexico,,,8417
Bucks County,Pennsylvania,,,2932
Camas County,Idaho,,,2061
Cameron County,Pennsylvania,,,3280
Geauga County,Ohio,,,20259
Mendocino County,California,,,2199
Trinity County,California,,,7352
Trinity County,California,,,7231
Yavapai County,Arizona,,,1818
Clackamas County,Oregon,,,656
El Paso County,Colorado,,,1360
Humboldt County,California,,,4642
Lee County,Iowa,,,25836
Napa County,California,,,2210
Perry County,Indiana,,,2469
Schoolcraft County,Michigan,,,2554
St. Louis County,Minnesota,,,1062
Sullivan County,Indiana,,,2470
Anne Arundel County,Maryland,,,1164
Apache County,Arizona,,,846
Cambria County,Pennsylvania,,,2452
Hamilton County,New York,,,6695
Iosco County,Michigan,,,236
Maury County,Tennessee,,,29223
Mendocino County,California,,,4182
Siskiyou County,California,,,5220
Deschutes County,Oregon,,,667
Monroe County,Michigan,,,38155
Park County,Wyoming,,,26521
Valley County,Idaho,,,58890
Washington County,New York,,,9723
Barnstable County,Massachusetts,,,1198
Carroll County,Maryland,,,231
Lawrence County,Indiana,,,3233
St. Clair County,Michigan,,,821
Warren County,New Jersey,,,27743
Washington County,Indiana,,,874
Anne Arundel County,Maryland,,,3602
Delta County,Michigan,,,33559
Jefferson County,Pennsylvania,,,1134
Lemhi County,Idaho,,,2316
Monroe County,Indiana,,,1440
Morgan County,Indiana,,,2406
Pueblo County,Colorado,,,1371
San Diego County,California,,,2816
Columbia County,New York,,,5245
Del Norte County,California,,,1549
Kent County,Michigan,,,805
Kershaw County,South Carolina,,,546
Madison County,Arkansas,,,4089
Carter County,Tennessee,,,25377
Chittenden County,Vermont,,,1178
Fulton County,Pennsylvania,,,3565
Lane County,Oregon,,,27479
Lassen County,California,,,4132
Mason County,Washington,,,9168
Siskiyou County,California,,,1058
Yamhill County,Oregon,,,703
Del Norte County,California,,,4445
Del Norte County,California,,,1551
Fredrick County,Maryland,,,6249
Humboldt County,California,,,2176
Kershaw County,South Carolina,,,4196
Macon County,North Carolina,,,44354
Ulster County,New York,,,8064
Vermillion County,Indiana,,,1790
York County,Maine,,,1190
Brown County,South Dakota,,,1445
El Dorado County,California,,,2121
Greenville County,South Carolina,,,791
Okanogan County,Washington,,,9392
Oswego County,New York,,,3614
Steuben County,New York,,,2630
Carbon County,Wyoming,,,5875
Deschutes County,Oregon,,,666
Hood River County,Oregon,,,670
La Porte County,Indiana,,,2076
Oscoda County,Michigan,,,2943
Shasta County,California,,,2844
Tulare County,California,,,2183
